DTXSID,true_chemname,true_cas,esc
DTXSID00100458,"Manganese, 2-ethylhexanoate naphthenate complexes",68609-86-9,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID00100695,"Benzenesulfonic acid, mono-C7-17-branched alkyl derivs.",68648-98-6,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID001009530,"Oxirane, 2-methyl-, polymer with oxirane, mono[3-[1,3,3,3-tetramethyl-1-[(trimethylsilyl)oxy]-1-disiloxanyl]propyl] ether",134180-76-0,Inert_ingredient_in_products; Pesticides; Labeled_for_nonfood_use
DTXSID001009685,"Poly[oxy(methyl-1,2-ethanediyl)], .alpha.-octadecyl-.omega.-hydroxy-",25231-21-4,Inert_ingredient_in_products; Pesticides; Labeled_for_nonfood_use
DTXSID001009728,"Siloxanes and Silicones, Me 3,3,3-trifluoropropyl",63148-56-1,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID001009742,"Cellulose, 2-hydroxyethyl methyl ether",9032-42-2,Bottled_and_finished_water_for_consumption; Product_manufacturing; Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID001009778,.beta.-Galactosidase,9031-11-2,Personal_care; General_consumer_product; Pharmaceutical
DTXSID00100978,"Sulfuric acid, mono-C15-18-alkyl esters, sodium salts",68784-79-2,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID001010189,"Naphtha (petroleum), light steam-cracked debenzenized polymers hydrogenated",68132-00-3,Bottled_and_finished_water_for_consumption; Product_manufacturing; Substances_in_contact_with_food
DTXSID001010858,Egg white,9006-50-2,Inert_ingredient_in_products; Pesticides; Labeled_for_nonfood_use
DTXSID001010860,Peroxidase,9003-99-0,Children_products_and_toys; Personal_care
DTXSID001010884,"Oils, pine needle",8000-26-8,Active_ingredient_in_products; Pesticides; Personal_care
DTXSID001010896,Poly(oxymethylene),9002-81-7,Substances_in_contact_with_food; Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID001010939,"Lanolin, oil, ethoxylated",68648-38-4,General_consumer_product; Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID001010953,"Butene, polymer with ethene",9019-29-8,Substances_in_contact_with_food; Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID001010965,"1-Butene, polymer with ethene",25087-34-7,Substances_in_contact_with_food; Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID001010977,"Amines, soya alkyl, ethoxylated",61791-24-0,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID001011137,"Hexanedioic acid, polymer with 2,2'-oxybis[ethanol]",9010-89-3,Substances_in_contact_with_food; Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID001011149,"1,3-Benzenediol, 4,?-bis[2-(dimethylphenyl)diazenyl]-",28514-75-2,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID001011420,"Glycine, N,N'-1,2-ethanediylbis[N-(carboxymethyl)-, sodium salt (1:?)",7379-28-4,Substances_in_contact_with_food; Inert_ingredient_in_products; Pesticides; Labeled_for_nonfood_use
DTXSID001012016,"Poly[oxy(methyl-1,2-ethanediyl)], .alpha.-[(9Z)-(1-oxo-9-octadecen-1-yl)]-.omega.-hydroxy-",31394-71-5,Inert_ingredient_in_products; Pesticides; Labeled_for_nonfood_use
DTXSID001012054,"Poly(oxy-1,2-ethanediyl), .alpha.-(nonylphenyl)-.omega.-hydroxy-, phosphate, magnesium salt",67922-57-0,Inert_ingredient_in_products; Pesticides; Labeled_for_nonfood_use
DTXSID001012428,"Benzenesulfonamide, ar-methyl-, polymer with formaldehyde and 1,3,5-triazine-2,4,6-triamine, butylated",68891-01-0,Bottled_and_finished_water_for_consumption; Product_manufacturing
DTXSID00101243,"Oxirane, 2-methyl-, polymer with oxirane, mono-C10-16-alkyl ethers, phosphates, potassium salts",68891-13-4,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID001012547,"Poly[oxy(methyl-1,2-ethanediyl)], .alpha.-[2-(diethylmethylammonio)ethyl]-.omega.-hydroxy-, chloride (1:1)",68132-96-7,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
