DTXSID,true_chemname,true_cas
DTXSID3032410,"Hexadeca-7,11-dien-1-yl acetate (Z,E)-",53042-79-8
DTXSID9035751,"7,11-Hexadecadien-1-ol, acetate, (Z,Z)-",52207-99-5
DTXSID4024985,"1,3-Dichloro-5,5-dimethylhydantoin",118-52-5
DTXSID4035839,"1,3-Dichloro-5-ethyl-5-methylhydantoin",89415-87-2
DTXSID1022057,"1,3-Dichloropropene",542-75-6
DTXSID3032591,"1-Bromo-3-chloro-5,5-dimethylhydantoin",16079-88-2
DTXSID3020914,1-Naphthaleneacetamide,86-86-2
DTXSID0032528,"2,2'-(1-Methyltrimethylenedioxy)bis(4-methyl-1,3,2-dioxaborinane)",2665-13-6
DTXSID2034207,"2,2'-Oxybis(4,4,6-trimethyl-1,3,2-dioxaborinane)",14697-50-8
DTXSID5032361,"2,2-Dibromo-3-nitrilopropionamide",10222-01-2
DTXSID0020442,"2,4-Dichlorophenoxyacetic acid",94-75-7
DTXSID1032309,"2,4-D-Butotyl",1929-73-3
DTXSID0024896,"2,4-D dimethylamine salt",2008-39-1
DTXSID2034679,"2,4-D 2-ethyl-4-methylpentyl ester",53404-37-8
DTXSID5020445,"2,4-D isopropyl ester",94-11-1
DTXSID90274192,Dichlorprop-P-2-ethylhexyl,865363-39-9
DTXSID2034546,"Dimethylamine 2-(2,4-dichlorophenoxy)propionate",53404-32-3
DTXSID2034259,2-Methyl-3(2H)-isothiazolone,2682-20-4
DTXSID0028038,3-Iodo-2-propynyl-N-butylcarbamate,55406-53-6
DTXSID5032498,Triclosan,3380-34-5
DTXSID9034286,5-Chloro-2-methyl-3(2H)-isothiazolone,26172-55-4
DTXSID8023846,Acephate,30560-19-1
DTXSID8035180,Allethrin,584-79-2
DTXSID1023867,Aluminum phosphide,20859-73-8
DTXSID0037497,Azadirachtin,11141-17-6
DTXSID6044147,Bacillus thuringiensis,68038-71-1
DTXSID9032327,Bendiocarb,22781-23-3
DTXSID3023899,Benfluralin,1861-40-1
DTXSID9032329,Bensulide,741-58-2
DTXSID5020152,Benzyl alcohol,100-51-6
DTXSID3041320,"2,3,4,5-Bisbutylene tetrafurfural",126-15-8
DTXSID2034384,Borax (B4Na2O7.10H2O),1303-96-4
DTXSID1020194,Boric acid (H3BO3),10043-35-3
DTXSID5032529,Brodifacoum,56073-10-0
DTXSID4022020,Bromacil,314-40-9
DTXSID9032589,Bromadiolone,28772-56-7
DTXSID8032590,Bromethalin,63333-35-7
DTXSID3034404,Butoxypolypropylene glycol,9003-13-8
DTXSID7020508,Dimethylarsinic acid,75-60-5
DTXSID1029700,Calcium hypochlorite,7778-54-3
DTXSID90897325,Capsicum oleoresin,8023-77-6
DTXSID9020243,Captan,133-06-2
DTXSID9020247,Carbaryl,63-25-2
DTXSID1020273,Chlorine,7782-50-5
DTXSID5023958,Chlorine dioxide,10049-04-4
DTXSID2032348,Chlorophacinone,3691-35-8
DTXSID0020315,Chloropicrin,76-06-2
DTXSID0020319,Chlorothalonil,1897-45-6
DTXSID4020458,Chlorpyrifos,2921-88-2
DTXSID0024000,Chlorthal-dimethyl,1861-32-1
DTXSID6026294,Vitamin D3,67-97-0
DTXSID3020332,Citric acid,77-92-9
DTXSID2023985,Copper,7440-50-8
DTXSID7020346,Copper-8-hydroxyquinoline (1:2),10380-28-6
DTXSID2035693,Copper ethanolamine complex,14215-52-2
DTXSID6034473,Copper dihydroxide,20427-59-2
DTXSID1027392,Copper napthenate,1338-02-9
DTXSID0034489,Cuprous oxide,1317-39-1
DTXSID1034476,Copper oxychloride sulfate,8012-69-9
DTXSID4034944,Basic copper sulfate,1344-73-6
DTXSID9031066,"Copper(II) sulfate, pentahydrate",7758-99-8
DTXSID0034483,Cupric triethanolamine,82027-59-6
DTXSID5098212,Cottonseed meal,68424-10-2
DTXSID0024848,Cottonseed oil,8001-29-4
DTXSID0034487,Cryolite,15096-52-3
DTXSID6021248,Rotenone,83-79-4
DTXSID7024873,Cyanuric acid,108-80-5
DTXSID5035957,Cyfluthrin,68359-37-5
DTXSID1023998,Cypermethrin,52315-07-8
DTXSID2039336,S-Bioallethrin,28434-00-6
DTXSID7024902,Dazomet,533-74-4
DTXSID5020449,Dichlorvos,62-73-7
DTXSID2021995,DEET,134-62-3
DTXSID0051285,Diatomite,68855-54-9
DTXSID9020407,Diazinon,333-41-5
DTXSID4024018,Dicamba,1918-00-9
DTXSID9034369,Dicamba-dimethylammonium,2300-66-5
DTXSID5032365,Dichlobenil,1194-65-6
DTXSID8024993,Troclosene,2782-57-2
DTXSID2020426,Dicloran,99-30-9
DTXSID4020450,Dicofol,115-32-2
DTXSID9032537,Didecyldimethylammonium chloride,7173-51-5
DTXSID7020479,Dimethoate,60-51-5
DTXSID6035491,Dioctyldimethylammonium chloride,5538-94-3
DTXSID7041881,Dioctyl sodium sulfosuccinate,1639-66-3
DTXSID4032378,Diphacinone,82-66-6
DTXSID8032544,"Dipropyl 2,5-pyridinedicarboxylate",136-45-8
DTXSID3024075,Diquat dibromide,85-00-7
DTXSID6034423,Disodium cyanodithioimidocarbonate,138-93-2
DTXSID1034391,Disodium octaborate tetrahydrate,12280-03-4
DTXSID0022018,Disulfoton,298-04-4
DTXSID0020446,Diuron,330-54-1
DTXSID0035954,Dodecylguanidine hydrochloride,13590-97-1
DTXSID6027923,Dodecylbenzenesulfonic acid,27176-87-0
DTXSID4032665,Disodium methanearsonate,144-21-8
DTXSID3026350,Ethylenediaminetetraacetic acid tetrasodium salt,64-02-8
DTXSID1020560,Endosulfan,115-29-7
DTXSID1024091,EPTC,759-94-4
DTXSID4032667,Esfenvalerate,66230-04-4
DTXSID9093725,Jasmine oil,8022-96-6
DTXSID7024085,Ethephon,16672-87-0
DTXSID9020584,Ethanol,64-17-5
DTXSID0020600,Ethylene oxide,75-21-8
DTXSID3095692,Fatty acids,67254-79-9
DTXSID7032393,Fenoxycarb,72490-01-8
DTXSID3020621,"(R,R)-Fenvalerate",67614-33-9
DTXSID0034855,Fluazifop-P-butyl,79241-46-6
DTXSID0021385,Folpet,133-07-3
DTXSID7020637,Formaldehyde,50-00-0
DTXSID0020656,Gibberellic acid,77-06-5
DTXSID6025355,Glutaraldehyde,111-30-8
