"DTXSID","true_cas","true_chemname","status","cluster","Active_ingredient_in_products","Inert_ingredient_in_products","Labeled_for_nonfood_use","Pesticides","Air_near_source","Artificial_liquids","Arts_and_crafts_or_office_supplies","Chemicals_that_emit_or_offgas","Children_products_and_toys","Electronics","General_consumer_product","Household_care_and_cleaning_products","Personal_care","Vehicles","Bottled_and_finished_water_for_consumption","Product_manufacturing","Crops_and_animal_feed","Food","Human_food_from_animals","Food_additive","Food_supplement","Furniture","Home_maintenance_.and_building_materials","Groundwater","Surface_water","Home_outdoor_cleaning","Occupational_products","Petrochemicals","Pharmaceutical","Soil","Wastewater","Substances_in_contact_with_food"
"DTXSID00100458","68609-86-9","Manganese, 2-ethylhexanoate naphthenate complexes","uc",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DTXSID00100695","68648-98-6","Benzenesulfonic acid, mono-C7-17-branched alkyl derivs.","uc",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DTXSID001009530","134180-76-0","Oxirane, 2-methyl-, polymer with oxirane, mono[3-[1,3,3,3-tetramethyl-1-[(trimethylsilyl)oxy]-1-disiloxanyl]propyl] ether","uc",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DTXSID001009685","25231-21-4","Poly[oxy(methyl-1,2-ethanediyl)], .alpha.-octadecyl-.omega.-hydroxy-","uc",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DTXSID001009728","63148-56-1","Siloxanes and Silicones, Me 3,3,3-trifluoropropyl","uc",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DTXSID001009742","9032-42-2","Cellulose, 2-hydroxyethyl methyl ether","uc",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DTXSID00100978","68784-79-2","Sulfuric acid, mono-C15-18-alkyl esters, sodium salts","uc",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DTXSID001010858","9006-50-2","Egg white","uc",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DTXSID001010896","9002-81-7","Poly(oxymethylene)","uc",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"DTXSID001010939","68648-38-4","Lanolin, oil, ethoxylated","uc",1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DTXSID001010953","9019-29-8","Butene, polymer with ethene","uc",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"DTXSID001010965","25087-34-7","1-Butene, polymer with ethene","uc",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
