clusters,y
1,2125.5295354025266
2,2081.5105584963158
3,2020.7709317847716
4,1506.1479682316135
5,1482.7776532070377
6,1480.0333114252435
7,1479.1803861311917
8,1336.555525897897
9,1336.1258208142667
10,1330.0585948419487
11,1300.7740313335037
12,1182.79469804275
13,1179.6479363574226
14,1179.0996792649269
15,1176.121883725186
16,1175.658549743543
17,1168.227270672985
18,1166.63685295449
19,1091.9952731386927
20,1027.24599569219
21,1026.5677867548372
22,1025.1082856133764
23,1023.3436505350953
24,1022.8972426834459
25,1022.0148009349518
26,999.1474519669741
27,998.6755417216007
28,998.2566247687228
29,998.1006753045182
30,602.6286999522695
31,599.6656148318834
32,599.1006663305076
33,593.6733564163068
34,593.2555650562847
35,588.5356205536108
36,583.3106171636668
37,581.7529195193947
38,578.6209192454933
39,576.1542885127831
40,574.8613570345032
41,573.8950877567382
42,573.6066231485547
43,573.3844009263325
44,573.118357770065
45,572.6431446661878
46,571.7853559725401
47,566.0285742147267
48,550.210584662955
49,549.8279399362882
50,548.6398426383847
51,546.3496391004604
52,544.3140127299334
53,543.8284888563068
54,543.5627363156606
55,543.3729305583787
56,535.6890568873131
57,464.5832494903398
58,463.97208610883814
59,462.04572269076266
60,461.6046987396294
61,461.3234487396294
62,446.65829000334617
63,445.01321105514086
64,444.76718692697193
65,442.45745615042046
66,442.23191765411474
67,442.05555196763385
68,441.8533741092299
69,441.5539614626365
70,440.8744010381038
71,440.71161309748834
72,440.60954421338187
73,440.5194366523667
74,440.41439510112014
75,436.54920492319354
76,435.7955890593685
77,432.69915024428036
78,431.72381190898454
79,429.18918735300275
80,428.97212801403253
81,427.5982084131358
82,426.6017759203256
83,426.3890136648063
84,425.3514424624656
85,425.1743782092952
86,424.793431477037
87,424.4186362935315
88,424.15912508163933
89,423.22620074063735
90,422.779444630786
91,415.8183479824475
92,415.6020180944106
93,414.3305969518498
94,412.4967839563178
95,412.2054584764064
96,411.8867368540606
97,409.5197087559554
98,409.27347241646527
99,409.10499143769084
100,408.891817350806
