INPUT,FOUND_BY,DTXSID,PREFERRED_NAME,ATMOSPHERIC_HYDROXYLATION_RATE_(AOH)_CM3/MOLECULE*SEC_OPERA_PRED,BIOCONCENTRATION_FACTOR_OPERA_PRED,BIODEGRADATION_HALF_LIFE_DAYS_DAYS_OPERA_PRED,BOILING_POINT_DEGC_OPERA_PRED,HENRYS_LAW_ATM-M3/MOLE_OPERA_PRED,OPERA_KM_DAYS_OPERA_PRED,OCTANOL_AIR_PARTITION_COEFF_LOGKOA_OPERA_PRED,SOIL_ADSORPTION_COEFFICIENT_KOC_L/KG_OPERA_PRED,OCTANOL_WATER_PARTITION_LOGP_OPERA_PRED,MELTING_POINT_DEGC_OPERA_PRED,VAPOR_PRESSURE_MMHG_OPERA_PRED,WATER_SOLUBILITY_MOL/L_OPERA_PRED
DTXSID00100458,DSSTox_Substance_Id,DTXSID00100458,"Manganese, 2-ethylhexanoate naphthenate complexes",-,-,-,-,-,-,-,-,-,-,-,-
DTXSID00100695,DSSTox_Substance_Id,DTXSID00100695,"Benzenesulfonic acid, mono-C7-17-branched alkyl derivs.",-,-,-,-,-,-,-,-,-,-,-,-
DTXSID001009530,DSSTox_Substance_Id,DTXSID001009530,"Oxirane, 2-methyl-, polymer with oxirane, mono[3-[1,3,3,3-tetramethyl-1-[(trimethylsilyl)oxy]-1-disiloxanyl]propyl] ether",-,-,-,-,-,-,-,-,-,-,-,-
DTXSID001009685,DSSTox_Substance_Id,DTXSID001009685,"Poly[oxy(methyl-1,2-ethanediyl)], .alpha.-octadecyl-.omega.-hydroxy-",-,-,-,-,-,-,-,-,-,-,-,-
DTXSID001009728,DSSTox_Substance_Id,DTXSID001009728,"Siloxanes and Silicones, Me 3,3,3-trifluoropropyl",-,-,-,-,-,-,-,-,-,-,-,-
DTXSID001009742,DSSTox_Substance_Id,DTXSID001009742,"Cellulose, 2-hydroxyethyl methyl ether",-,-,-,-,-,-,-,-,-,-,-,-
DTXSID00100978,DSSTox_Substance_Id,DTXSID00100978,"Sulfuric acid, mono-C15-18-alkyl esters, sodium salts",-,-,-,-,-,-,-,-,-,-,-,-
DTXSID001010858,DSSTox_Substance_Id,DTXSID001010858,Egg white,-,-,-,-,-,-,-,-,-,-,-,-
DTXSID001010896,DSSTox_Substance_Id,DTXSID001010896,Poly(oxymethylene),-,-,-,-,-,-,-,-,-,-,-,-
DTXSID001010939,DSSTox_Substance_Id,DTXSID001010939,"Lanolin, oil, ethoxylated",-,-,-,-,-,-,-,-,-,-,-,-
DTXSID001010953,DSSTox_Substance_Id,DTXSID001010953,"Butene, polymer with ethene",-,-,-,-,-,-,-,-,-,-,-,-
DTXSID001010965,DSSTox_Substance_Id,DTXSID001010965,"1-Butene, polymer with ethene",-,-,-,-,-,-,-,-,-,-,-,-
DTXSID001010977,DSSTox_Substance_Id,DTXSID001010977,"Amines, soya alkyl, ethoxylated",-,-,-,-,-,-,-,-,-,-,-,-
DTXSID001011137,DSSTox_Substance_Id,DTXSID001011137,"Hexanedioic acid, polymer with 2,2'-oxybis[ethanol]",-,-,-,-,-,-,-,-,-,-,-,-
DTXSID001011149,DSSTox_Substance_Id,DTXSID001011149,"1,3-Benzenediol, 4,?-bis[2-(dimethylphenyl)diazenyl]-",-,-,-,-,-,-,-,-,-,-,-,-
DTXSID001011420,DSSTox_Substance_Id,DTXSID001011420,"Glycine, N,N'-1,2-ethanediylbis[N-(carboxymethyl)-, sodium salt (1:?)",-,-,-,-,-,-,-,-,-,-,-,-
DTXSID001012016,DSSTox_Substance_Id,DTXSID001012016,"Poly[oxy(methyl-1,2-ethanediyl)], .alpha.-[(9Z)-(1-oxo-9-octadecen-1-yl)]-.omega.-hydroxy-",-,-,-,-,-,-,-,-,-,-,-,-
DTXSID001012054,DSSTox_Substance_Id,DTXSID001012054,"Poly(oxy-1,2-ethanediyl), .alpha.-(nonylphenyl)-.omega.-hydroxy-, phosphate, magnesium salt",-,-,-,-,-,-,-,-,-,-,-,-
DTXSID00101243,DSSTox_Substance_Id,DTXSID00101243,"Oxirane, 2-methyl-, polymer with oxirane, mono-C10-16-alkyl ethers, phosphates, potassium salts",-,-,-,-,-,-,-,-,-,-,-,-
DTXSID001012547,DSSTox_Substance_Id,DTXSID001012547,"Poly[oxy(methyl-1,2-ethanediyl)], .alpha.-[2-(diethylmethylammonio)ethyl]-.omega.-hydroxy-, chloride (1:1)",-,-,-,-,-,-,-,-,-,-,-,-
DTXSID001012759,DSSTox_Substance_Id,DTXSID001012759,"Poly(oxy-1,2-ethanediyl), .alpha.-hydro-.omega.-hydroxy-, polymer with 1,1'-methylenebis[4-isocyanatocyclohexane]",-,-,-,-,-,-,-,-,-,-,-,-
DTXSID001013440,DSSTox_Substance_Id,DTXSID001013440,"1H-Pyrazole-3-carboxylic acid, 4,5-dihydro-5-oxo-1-(4-sulfophenyl)-4-[2-(4-sulfophenyl)diazenyl]-, sodium salt, compd. with 2-aminoethanol (1:?:?)",-,-,-,-,-,-,-,-,-,-,-,-
DTXSID001015046,DSSTox_Substance_Id,DTXSID001015046,"Sulfuric acid, mono-C10-16-alkyl esters, magnesium salts",-,-,-,-,-,-,-,-,-,-,-,-
