DTXSID,true_cas,true_chemname,status,ATMOSPHERIC_HYDROXYLATION_RATE_.AOH._CM3.MOLECULE.SEC_OPERA_PRED,BIOCONCENTRATION_FACTOR_OPERA_PRED,BIODEGRADATION_HALF_LIFE_DAYS_DAYS_OPERA_PRED,BOILING_POINT_DEGC_OPERA_PRED,HENRYS_LAW_ATM.M3.MOLE_OPERA_PRED,OPERA_KM_DAYS_OPERA_PRED,OCTANOL_AIR_PARTITION_COEFF_LOGKOA_OPERA_PRED,SOIL_ADSORPTION_COEFFICIENT_KOC_L.KG_OPERA_PRED,OCTANOL_WATER_PARTITION_LOGP_OPERA_PRED,MELTING_POINT_DEGC_OPERA_PRED,VAPOR_PRESSURE_MMHG_OPERA_PRED,WATER_SOLUBILITY_MOL.L_OPERA_PRED
DTXSID001016618,111031-17-5,Clethodim-sulfone,uc,1.23015e-10,12.783,3.35408,379.066,8.24842e-10,0.71698,10.6546,13506.2,3.24073,45.0544,9.50472e-8,5.63492e-4
DTXSID001016632,124478-60-0,Aglepristone,uc,8.54302e-11,427.86,149.595,431.858,2.27962e-8,2.36719,10.2434,72495.4,6.30313,114.873,5.3836e-10,5.91361e-6
DTXSID001016749,111337-53-2,"1,2-Benzisothiazol-3(2H)-one, lithium salt",uc,4.31201e-11,4.47433,3.74206,311.909,1.64844e-8,0.100701,8.36234,73.142,0.807474,93.6303,1.42925e-5,3.36109e-6
DTXSID001017842,255613,Hydroxysimazine,uc,2.40217e-11,2.05766,4.29639,327.311,2.05171e-9,0.118879,7.17636,45.05,1.2679,259.679,2.35651e-7,0.345836
DTXSID001017911,1115248-09-3,Desulfinylfipronil amide,uc,1.16494e-11,4.65156,4.6212,319.481,9.92849e-9,0.815504,9.24893,347.228,3.02548,184.739,2.25754e-10,1.97784e-5
DTXSID00148436,108149-59-3,4-nonylphenoxy diethoxy acetic acid (NP3EC),uc,2.02945e-11,40.8355,5.70829,346.805,3.45893e-9,0.851436,10.4847,13486.7,4.76603,153.597,7.13022e-8,0.0010898
DTXSID00157826,132875-61-7,Remifentanil,uc,1.7880500000000002e-11,9.02105,5.69455,363.893,9.59206e-10,4.2942,11.7272,1111.61,1.31751,142.641,1.99485e-7,2.45231e-4
DTXSID00178253,2360-45-4,2-(1-Oxopropyl)benzoic acid,uc,1.31656e-11,3.12186,3.53814,287.563,2.26656e-9,0.0974085,8.53423,88.6867,1.44025,132.561,6.28721e-6,0.0120489
DTXSID00181747,273-77-8,"Benzo-1,2,3-thiadiazole",uc,8.78569e-11,5.75516,5.03084,212.991,3.17437e-7,0.144733,3.93833,42.9049,1.87788,106.932,0.0478867,0.0591454
DTXSID00185644,3178-29-8,4-Propylheptane,uc,1.27975e-11,852.653,4.34714,164.82,0.161746,8.66794,4.43873,1213.7,5.51083,-86.4604,12.434,2.33743e-6
DTXSID00197080,4727-29-1,Lemax,uc,1.02806e-11,2.87094,5.30218,292.576,1.65097e-10,0.109641,9.14853,182.666,2.62089,162.355,1.31881e-9,8.33957e-5
DTXSID00197560,486-35-1,Daphnetin,uc,4.26598e-11,8.53614,3.54799,323.377,4.72093e-10,0.103621,8.11592,159.135,0.207619,261.959,6.95306e-9,0.0325551
DTXSID00199589,51650-46-5,Magnesium p-toluenesulphonate,uc,2.32353e-12,5.4017,4.97523,291.954,1.34127e-8,0.115677,7.71324,73.5089,-2.51853,79.0618,8.87098e-7,3.59185
DTXSID0020022,50594-66-6,Acifluorfen,uc,1.3798e-11,5.01941,3.54931,322.23,1.07878e-8,0.894167,10.633,113.208,3.70059,150.015,1.14862e-9,0.0824185
DTXSID0020074,60142-96-3,Gabapentin,uc,1.31027e-11,2.86287,3.72352,276.319,2.99199e-8,0.269415,7.91959,126.977,-1.10005,202.002,5.20917e-4,0.17655
