DTXSID,ss_cas,ss_chemname,total_enrich_feat,SS_score,uc_chemname,uc_cas,bc_DTXSID,bc_chemname,bc_cas,sr_cor,sr_pval,PS_score,prioritization_score
DTXSID7052529,7786-61-0,2-Methoxy-4-vinylphenol,4,1,2-Methoxy-4-vinylphenol,7786-61-0,DTXSID7022413,Isoeugenol,97-54-1,0.8321678321678323,0.0014408725736803438,0.867816091954023,1.867816091954023
DTXSID5021625,5359-04-6,p-Isopropenylacetophenone,3,0.75,p-Isopropenylacetophenone,5359-04-6,DTXSID7022413,Isoeugenol,97-54-1,0.9440559440559443,0,0.959770114942529,1.709770114942529
DTXSID40110056,621-82-9,Cinnamic acid,3,0.75,Cinnamic acid,621-82-9,DTXSID7022413,Isoeugenol,97-54-1,0.7692307692307694,0.0052529205777348,0.8160919540229885,1.5660919540229885
DTXSID7047647,122-69-0,3-Phenyl-2-propen-1-yl 3-phenylacrylate,3,0.75,3-Phenyl-2-propen-1-yl 3-phenylacrylate,122-69-0,DTXSID7022413,Isoeugenol,97-54-1,0.7552447552447553,0.006596543220806151,0.8045977011494253,1.5545977011494254
DTXSID4025587,101-39-3,2-Methylcinnamic aldehyde,3,0.75,2-Methylcinnamic aldehyde,101-39-3,DTXSID7022413,Isoeugenol,97-54-1,0.7482517482517483,0.007353207261928149,0.7988505747126436,1.5488505747126435
DTXSID201016569,87345-53-7,"3,5-Dimethoxy-4-hydroxycinnamaldehyde",3,0.75,"3,5-Dimethoxy-4-hydroxycinnamaldehyde",87345-53-7,DTXSID7022413,Isoeugenol,97-54-1,0.7342657342657344,0.00905209711737095,0.7873563218390804,1.5373563218390804
DTXSID3052143,507-70-0,dl-Borneol,2,0.5,dl-Borneol,507-70-0,DTXSID7022413,Isoeugenol,97-54-1,0.9790209790209791,0,0.9885057471264368,1.4885057471264367
DTXSID40905045,17699-16-0,(+)-trans-4-Thujanol,2,0.5,(+)-trans-4-Thujanol,17699-16-0,DTXSID7022413,Isoeugenol,97-54-1,0.9790209790209791,0,0.9885057471264368,1.4885057471264367
DTXSID9021841,100-61-8,N-Methylaniline,4,1,N-Methylaniline,100-61-8,DTXSID7022413,Isoeugenol,97-54-1,0.3636363636363637,0.24625522801216132,0.4827586206896552,1.4827586206896552
DTXSID9027520,3089-11-0,Hexa(methoxymethyl)melamine,3,0.75,Hexa(methoxymethyl)melamine,3089-11-0,DTXSID7022413,Isoeugenol,97-54-1,0.6153846153846154,0.037334511366369796,0.689655172413793,1.4396551724137931
DTXSID4024721,464-49-3,D-Camphor,2,0.5,D-Camphor,464-49-3,DTXSID3020964,Nitrobenzene,98-95-3,0.8321678321678323,0.0014408725736803438,0.867816091954023,1.367816091954023
DTXSID2060599,611-15-4,o-Vinyltoluene,4,1,o-Vinyltoluene,611-15-4,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.19580419580419584,0.5428735206298202,0.3448275862068966,1.3448275862068966
DTXSID6038794,1605-18-1,"1,4-Bis(1-methylethenyl)benzene",3,0.75,"1,4-Bis(1-methylethenyl)benzene",1605-18-1,DTXSID7022413,Isoeugenol,97-54-1,0.49650349650349657,0.10409283287352607,0.5919540229885059,1.3419540229885059
DTXSID7027546,3748-13-8,"1,3-Diisopropenylbenzene",3,0.75,"1,3-Diisopropenylbenzene",3748-13-8,DTXSID7022413,Isoeugenol,97-54-1,0.4755244755244756,0.12131935644669292,0.5747126436781609,1.3247126436781609
